company_name,nse,exchange
360 ONE WAM LIMITED,360ONE,NSE
3M India Limited,3MINDIA,NSE
Aadhar Housing Finance Limited,AADHARHFC,NSE
Aarti Drugs Limited,AARTIDRUGS,NSE
Aarti Industries Limited,AARTIIND,NSE
Aavas Financiers Limited,AAVAS,NSE
ABB India Limited,ABB,NSE
Abbott India Limited,ABBOTINDIA,NSE
ACC Ltd.,ACC,NSE
ACME SOLAR HOLDINGS LTD.,ACMESOLAR,NSE
Action Construction Equipment Limited,ACE,NSE
Acutaas Chemicals Limited,ACUTAAS,NSE
Adani Energy Solutions Limited,ADANIENSOL,NSE
Adani Enterprises Limited,ADANIENT,NSE
Adani Green Energy Limited,ADANIGREEN,NSE
Adani Ports and Special Economic Zone Limited,ADANIPORTS,NSE
Adani Power Limited,ADANIPOWER,NSE
Adani Wilmar Limited,AWL,NSE
Aditya Birla Capital Limited,ABCAPITAL,NSE
Aditya Birla Fashion and Retail Limited,ABFRL,NSE
Aditya Birla Lifestyle Brands Limited,ABLBL,NSE
Aditya Birla Real Estate Limited,ABREL,NSE
Aditya Birla Sun Life AMC Limited,ABSLAMC,NSE
ADITYA INFOTECH LIMITED,CPPLUS,NSE
Aditya Vision Limited,AVL,NSE
Aegis Logistics Limited,AEGISLOG,NSE
Aegis Vopak Terminals Limited,AEGISVOPAK,NSE
AEQUS LIMITED,AEQUS,NSE
Aether Industries Limited,AETHER,NSE
Afcom Holdings Limited,AFCOM,BSE
Afcons Infrastructure Limited,AFCONS,NSE
Affle 3i Limited,AFFLE,NSE
Affle India Ltd.,AFFLE,NSE
Ahluwalia Contracts (India) Limited,AHLUCONT,NSE
AIA Engineering Limited,AIAENG,NSE
Ajanta Pharma Limited,AJANTPHARM,NSE
Ajax Engineering Ltd.,AJAXENGG,NSE
Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE
AKZO NOBEL INDIA LTD,AKZOINDIA,NSE
AkzoNobel India Ltd.,AKZOINDIA,NSE
Alembic Pharmaceuticals Limited,APLLTD,NSE
Alicon Castalloy Limited,ALICON,NSE
Alivus Life Sciences Limited,ALIVUS,NSE
Alkem Laboratories Limited,ALKEM,NSE
All Time Plastics Limited,ALLTIME,NSE
ALLCARGO GLOBAL LTD,AGL,NSE
ALLCARGO LOGISTICS LTD,ALLCARGO,NSE
Allied Blenders And Distillers Limited,ABDL,NSE
Amagi Media Labs Ltd.,AMAGI,NSE
Amanta Healthcare Limited,AMANTA,NSE
Amara Raja Energy And Mobility Ltd,ARE&M,NSE
Amber Enterprises India Limited,AMBER,NSE
Ambuja Cements Limited,AMBUJACEM,NSE
Amir Chand Jagdish Kumar (Exports) Ltd,AMIRCHAND,NSE
Amrutanjan Health Care Limited,AMRUTANJAN,NSE
ANAND RATHI SHARE AND STOCK BROKERS LIMITED,ARSSBL,NSE
Anand Rathi Wealth Limited,ANANDRATHI,NSE
AnandRathi Wealth Ltd.,ANANDRATHI,NSE
Anant Raj Limited,ANANTRAJ,NSE
Andhra Paper Ltd,ANDHRAPAP,NSE
ANGEL ONE LIMITED,ANGELONE,NSE
Anlon Technology Solutions Limited,ANLON,NSE
ANTHEM BIOSCIENCES LIMITED,ANTHEM,NSE
Antony Waste Handling Cell Limited,AWHCL,NSE
Apar Industries Limited,APARINDS,NSE
Apcotex Industries Ltd.,APCOTEXIND,NSE
Apeejay Surrendra Park Hotels Limited,PARKHOTELS,NSE
APL Apollo Tubes Limited,APLAPOLLO,NSE
Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE
Apollo Pipes Ltd,APOLLOPIPE,NSE
Apollo Tyres Limited,APOLLOTYRE,NSE
Aptus Value Housing Finance India Limited,APTUS,NSE
Archean Chemical Industries Limited,ACI,NSE
Artemis Medicare Services Limited,ARTEMISMED,NSE
Arvind Fashions Limited,ARVINDFASN,NSE
Arvind Limited,ARVIND,NSE
Arvind SmartSpaces Limited,ARVSMART,NSE
Asahi India Glass Limited,ASAHIINDIA,NSE
Ashok Leyland Limited,ASHOKLEY,NSE
Asian Paints Limited,ASIANPAINT,NSE
ASK Automotive Ltd.,ASKAUTOLTD,NSE
Astec LifeSciences Limited,ASTEC,NSE
Aster DM Healthcare Limited,ASTERDM,NSE
Astra Microwave Products Limited,ASTRAMICRO,NSE
Astral Limited,ASTRAL,NSE
AstraZeneca Pharma India Limited,ASTRAZEN,NSE
Ather Energy Limited,ATHERENERG,NSE
Atlanta Electricals Ltd,ATLANTAELE,NSE
Atul Limited,ATUL,NSE
AU Small Finance Bank Limited,AUBANK,NSE
Aurobindo Pharma Limited,AUROPHARMA,NSE
Automotive Axles Limited,AUTOAXLES,NSE
Avalon Technologies Limited,AVALON,NSE
AVANTI FEEDS LTD,AVANTIFEED,NSE
Avenue Supermarts Limited,DMART,NSE
AWFIS SPACE SOLUTIONS LIMITED,AWFIS,NSE
AWL Agri Business Limited,AWL,NSE
Axis Bank Limited,AXISBANK,NSE
Axiscades Technologies Ltd.,AXISCADES,NSE
Aye Finance Limited,AYE,NSE
Azad Engineering Ltd,AZAD,NSE
Baazar Style Retail Ltd,STYLEBAAZA,NSE
Bajaj Auto Limited,BAJAJ-AUTO,NSE
Bajaj Consumer Care Limited,BAJAJCON,NSE
Bajaj Electricals Limited,BAJAJELEC,NSE
Bajaj Finance Limited,BAJFINANCE,NSE
Bajaj Finserv Limited,BAJAJFINSV,NSE
Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE
Bajaj Housing Finance Limited,BAJAJHFL,NSE
Bajel Projects Limited,BAJEL,NSE
Balkrishna Industries Limited,BALKRISIND,NSE
Balrampur Chini Mills Limited,BALRAMCHIN,NSE
Bandhan Bank Ltd.,BANDHANBNK,NSE
BANK OF BARODA,BANKBARODA,NSE
Bank of India,BANKINDIA,NSE
BANK OF MAHARASHTRA,MAHABANK,NSE
BANSAL WIRE INDUSTRIES LIMITED,BANSALWIRE,NSE
BASF India Ltd.,BASF,NSE
Bata India Limited,BATAINDIA,NSE
Bayer Cropscience Limited,BAYERCROP,NSE
Belrise Industries Ltd.,BELRISE,NSE
BEML Limited,BEML,NSE
Berger Paints India Ltd.,BERGEPAINT,NSE
Best Agrolife Limited,BESTAGRO,NSE
Bharat Coking Coal Limited,BHARATCOAL,NSE
Bharat Dynamics Limited,BDL,NSE
Bharat Electronics Limited,BEL,NSE
Bharat Forge Limited,BHARATFORG,NSE
